pf_name,pl_name,team_name,pass_att,pass_comp,comp_pct,pass_yds,pass_ypg,pass_td,pass_int,rush_att,rush_yds,rush_avg,rush_ypg,rush_td,rec,rec_yds,rec_avg,rec_ypg,rec_td,tar,yac
Tyrie,Cleveland,DEN,0,0,0,0,0,0,0,0,0,0,0,0,2,28,14,4.7,0,7,17
Tyrion,Davis-Price,SF,0,0,0,0,0,0,0,16,37,2.31,12.3,0,0,0,0,0,0,2,0
Tyrod,Taylor,NYG,0,0,0,0,0,0,0,3,30,10,30,0,0,0,0,0,0,0,0
Tyron,Johnson,HOU,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,4,0,1,10
Van,Jefferson,LA,0,0,0,0,0,0,0,0,0,0,0,0,3,27,9,9,1,8,4
Velus,Jones,CHI,0,0,0,0,0,0,0,3,41,13.67,8.2,0,3,24,8,4.8,1,5,33
Wan'Dale,Robinson,NYG,0,0,0,0,0,0,0,1,-5,-5,-1,0,14,127,9.07,25.4,1,18,69
Will,Dissly,SEA,0,0,0,0,0,0,0,0,0,0,0,0,26,258,9.92,25.8,3,28,150
Zach,Ertz,ARI,0,0,0,0,0,0,0,0,0,0,0,0,47,406,8.64,40.6,4,69,130
Zach,Gentry,PIT,0,0,0,0,0,0,0,0,0,0,0,0,12,92,7.67,10.2,0,14,83
Zach,Pascal,PHI,0,0,0,0,0,0,0,1,0,0,0,0,10,114,11.4,12.7,1,12,75
Zach,Wilson,NYJ,167,96,57.5,1202,7.2,4,5,21,68,3.24,11.3,1,1,2,2,0.3,1,1,0
Zack,Moss,BUF,0,0,0,0,0,0,0,18,95,5.28,15.8,0,7,27,3.86,5.4,0,8,29
Zamir,White,LV,0,0,0,0,0,0,0,8,19,2.38,2.1,0,0,0,0,0,0,0,0
Zay,Jones,JAX,0,0,0,0,0,0,0,3,21,7,2.3,0,47,417,8.87,46.3,1,65,160
