Field,Type,Null,Key,Default,Extra
team_abbrev,varchar(3),NO,PRI,NULL,
team_city,varchar(35),NO,,NULL,
div_name,varchar(25),YES,MUL,NULL,
games_won,int,YES,,NULL,
games_lost,int,YES,,NULL,
games_tied,int,YES,,NULL,
points_for,int,YES,,NULL,
rush_yards,int,YES,,NULL,
pass_yards,int,YES,,NULL,
total_yards,int,YES,,NULL,
points_against,int,YES,,NULL,
rush_yards_against,int,YES,,NULL,
pass_yards_against,int,YES,,NULL,
total_yards_against,int,YES,,NULL,
user_favourites,int,NO,,0,
